Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	121	16078947	yozI	BSU18870	-	-	hypothetical protein	2057214	2057579	OF579
+	219	16078948	yobE	BSU18880	-	COG2135S	hypothetical protein	2057801	2058460	OF580
-	307	16078949	yobF	BSU18890	-	-	hypothetical protein	2058715	2059638	OR1
-	57	255767445	yozW	BSU18898	-	-	hypothetical protein	2059691	2059864	OR1
+	74	255767446	yozX	BSU18899	-	-	hypothetical protein	2060009	2060233	OF581
-	151	16078950	yozJ	BSU18900	-	-	hypothetical protein	2060237	2060692	OR1
+	86	255767447	yozY	BSU18908	-	-	transcriptional regulator	2060817	2061077	OF582
+	371	16078951	rapK	BSU18910	-	-	response regulator aspartate phosphatase	2062150	2063265	OF583
+	40	16078952	phrK	BSU18920	-	-	secreted regulator of the activity of phosphatase RapK	2063262	2063384	OF583
-	217	255767448	yobH	BSU18930	-	COG0389L	DNA repair protein	2063510	2064163	OR1
-	115	16078954	yozK	BSU18940	-	COG0389L	DNA repair protein fragment	2064200	2064547	OR1
-	97	16078955	yozL	BSU18950	-	-	hypothetical protein	2064540	2064833	OR1
+	111	16078956	yozM	BSU18960	-	-	bacteriophage protein	2065042	2065377	OF583
-	1201	16078957	yobI	BSU18970	-	-	NTPase with transmembrane helices	2065424	2069029	OR1
-	280	16078958	yobJ	BSU18980	-	-	hypothetical protein	2070244	2071086	OR1
-	152	16078959	yobK	BSU18990	-	-	hypothetical protein	2071286	2071744	OR1
-	600	16078960	yobL	BSU19000	-	COG5444S	phage DNA manipulating enzyme	2071754	2073556	OR1
-	187	255767449	yobM	BSU19010	-	COG4282G	hypothetical protein	2073658	2074221	OR1
+	446	16078962	yobN	BSU19020	-	COG1231E	amine oxidase	2074439	2075779	OF584
+	806	16078963	yobO	BSU19030	-	COG5434M	pre-neck appendage protein	2076206	2078626	OF585
-	110	16078964	csaA	BSU19040	-	COG0073R	molecular chaperone	2079214	2079546	OR1
-	241	16078965	yobQ	BSU19050	-	COG2207K	AraC family transcriptional regulator	2079611	2080336	OR1
-	247	16078966	yobR	BSU19060	-	COG0456R	acetyltransferase	2080351	2081094	OR1
-	191	16078967	yobS	BSU19070	-	COG1309K	transcriptional regulator	2081172	2081747	OR1
-	233	16078968	yobT	BSU19080	-	COG0491R	metal-dependent hydrolase	2081753	2082454	OR1
-	160	16078969	yobU	BSU19090	-	COG3708S	effector of transcriptional regulator	2082531	2083013	OR1
-	313	16078970	yobV	BSU19100	-	COG2378K	transcriptional regulator	2083067	2084008	OR1
+	181	16078971	yobW	BSU19110	-	-	mother cell-specific membrane sporulation protein	2084214	2084759	OF586
-	107	16078972	czrA	BSU19120	-	COG0640K	ArsR family transcriptional regulator	2084786	2085109	OR1
+	225	16078973	yocA	BSU19130	-	COG0741M	transposon-like lytic enzyme	2085303	2085980	OF587
-	178	16078974	yozB	BSU19140	-	COG2322S	hypothetical protein	2086070	2086606	OR1
-	260	16078975	yocB	BSU19150	-	-	hypothetical protein	2086743	2087525	OR1
+	165	16078976	yocC	BSU19160	-	-	hypothetical protein	2087696	2088193	OF588
+	325	16078977	yocD	BSU19170	-	COG1619V	carboxypeptidase	2088257	2089234	OF589
+	352	16078978	des	BSU19180	-	COG3239I	fatty acid desaturase	2089396	2090454	OF590
+	370	16078979	desK	BSU19190	-	COG4585T	two-component sensor histidine kinase DesR	2090574	2091686	OF591
+	199	16078980	desR	BSU19200	-	COG2197TK	two-component response regulator DesK	2091705	2092304	OF591
-	287	16078981	yocH	BSU19210	-	COG3584S	cell wall-binding protein	2092899	2093762	OR1
-	591	16078982	yocI	BSU19220	-	COG0514L	ATP-dependent nucleic acid helicase	2094010	2095785	OR1
-	208	16078983	yocJ	BSU19230	-	COG1182I	azoreductase	2096350	2096976	OR1
-	163	255767450	yocK	BSU19240	-	COG1734T	general stress protein	2097126	2097617	OR1
-	110	16078985	yocL	BSU19250	-	-	hypothetical protein	2097692	2098024	OR1
+	75	255767451	yoyB	BSU19259	-	-	hypothetical protein	2098102	2098329	OF591
-	158	16078986	yocM	BSU19260	-	COG0071O	spore coat protein	2098316	2098792	OR1
+	87	16078987	yozN	BSU19270	-	-	hypothetical protein	2098859	2099122	OF592
+	77	16078988	yocN	BSU19280	-	-	hypothetical protein	2099127	2099360	OF592
-	114	16078989	yozO	BSU19290	-	-	hypothetical protein	2099446	2099790	OR1
-	67	16078990	yozC	BSU19300	-	-	hypothetical protein	2100147	2100350	OR1
+	495	16078991	dhaS	BSU19310	-	COG1012C	aldehyde dehydrogenase	2100580	2102067	OF592
+	632	50812246	sqhC	BSU19320	-	COG1657I	squalene-hopene cyclase	2102168	2104066	OF593
+	281	16078993	sodF	BSU19330	-	COG0605P	superoxide dismutase	2104056	2104901	OF593
-	445	16078994	yocR	BSU19340	-	COG0733R	sodium-dependent transporter	2104934	2106271	OR1
+	321	16078995	yocS	BSU19350	-	COG0385R	sodium-dependent transporter	2106490	2107455	OF593
-	417	255767452	odhB	BSU19360	-	COG0508C	dihydrolipoamide succinyltransferase	2107505	2108758	OR1
-	944	255767453	sucA	BSU19370	-	COG0567C	2-oxoglutarate dehydrogenase E1	2108774	2111608	OR1
-	638	255767454	yojO	BSU19380	-	COG4548P	activator of nitric oxide reductase	2111837	2113753	OR1
-	304	16078999	yojN	BSU19390	-	COG0714R	nitric-oxide reductase	2113764	2114678	OR1
-	196	16079000	sodC	BSU19400	-	COG2032P	superoxide dismutase (exported lipoprotein)	2114742	2115332	OR1
-	414	16079001	cwlS	BSU19410	-	COG0791M	peptidoglycan hydrolase	2115425	2116669	OR1
-	405	50812248	yojK	BSU19420	-	COG1819GC	glycosyltransferase	2117051	2118268	OR1
-	207	255767455	yojJ	BSU19430	-	COG1624S	hypothetical protein	2118504	2119127	OR1
+	452	16079004	yojI	BSU19440	-	COG0534V	multidrug efflux protein	2119393	2120751	OF594
+	282	16079005	rsbRC	BSU19450	-	COG1366T	piezosome protein	2120767	2121615	OF594
-	221	255767456	yojG	BSU19460	-	COG2120S	deacetylase	2121641	2122306	OR1
-	116	16079006	yojF	BSU19470	-	-	hypothetical protein	2122325	2122675	OR1
-	92	255767457	yoyC	BSU19479	-	-	hypothetical protein	2122672	2122950	OR1
-	298	50812251	yojE	BSU19480	-	COG2962R	hypothetical protein	2123026	2123922	OR1
+	157	50812252	gerT	BSU19490	-	-	spore coat protein	2124021	2124494	OF594
-	78	16079009	yojB	BSU19510	-	COG3540P	hypothetical protein	2124529	2124765	OR1
-	444	16079010	yojA	BSU19520	-	COG2610GE	H+/anion permease	2124850	2126184	OR1
+	129	16079011	yodA	BSU19530	-	-	tautomerase	2126549	2126938	OF595
-	112	16079012	yodB	BSU19540	-	COG1733K	transcriptional repressor	2127345	2127683	OR1
+	202	16079013	yodC	BSU19550	-	COG0778C	oxidoreductase	2127813	2128421	OF596
-	200	16079014	yodD	BSU19560	-	COG0400R	hydrolase	2128464	2129066	OR1
-	303	16079015	yodE	BSU19570	-	COG0346E	lyase/dioxygenase	2129082	2129993	OR1
+	66	255767458	yoyD	BSU19579	-	-	hypothetical protein	2130177	2130377	OF597
+	496	16079016	yodF	BSU19580	-	COG0591ER	Na+/metabolite permease	2130377	2131867	OF597
-	466	16079017	ctpA	BSU19590	-	COG0793M	carboxy-terminal processing protease	2131902	2133302	OR1
+	233	16079018	yodH	BSU19600	-	COG2226H	S-adenosylmethionine-dependent methyltransferase	2133455	2134156	OF597
+	83	16079019	yodI	BSU19610	-	-	hypothetical protein	2134244	2134495	OF598
-	273	16079020	yodJ	BSU19620	-	COG1876M	D-alanyl-D-alanine carboxypeptidase	2134566	2135387	OR1
-	233	16079021	deoD	BSU19630	-	COG0813F	purine nucleoside phosphorylase	2135470	2136171	OR1
+	41	255767459	yoyE	BSU19639	-	-	hypothetical protein	2136373	2136498	OF599
-	104	255767460	yodL	BSU19640	-	-	hypothetical protein	2136538	2136852	OR1
-	203	16079023	yodM	BSU19650	-	COG0671I	phospholipid phosphatase	2136913	2137524	OR1
-	58	16079024	yozD	BSU19660	-	-	hypothetical protein	2137602	2137778	OR1
+	47	255767461	yoyF	BSU19669	-	-	hypothetical protein	2137897	2138040	OF600
-	226	16079025	yodN	BSU19670	-	-	hypothetical protein	2138037	2138717	OR1
-	74	16079026	yozE	BSU19680	-	COG4479S	hypothetical protein	2138868	2139092	OR1
-	92	255767462	yokU	BSU19689	-	-	hypothetical protein	2139179	2139457	OR1
-	471	16079027	kamA	BSU19690	-	COG1509E	lysine 2,3-aminomutase	2139454	2140869	OR1
-	275	16079028	yodP	BSU19700	-	COG1246E	acetyltransferase	2140898	2141725	OR1
-	436	16079029	yodQ	BSU19710	-	COG0624E	acetylornithine deacetylase	2141703	2143013	OR1
-	217	16079030	yodR	BSU19720	-	COG2057I	acyloate-acetoacetate CoA-transferase	2143022	2143675	OR1
-	229	16079031	yodS	BSU19730	-	COG1788I	aminoacyloate CoA-transferase	2143660	2144349	OR1
-	444	16079032	yodT	BSU19740	-	COG0161H	hypothetical protein	2144356	2145690	OR1
-	37	255767463	yoyG	BSU19749	-	-	hypothetical protein	2145820	2145933	OR1
-	259	16079033	cgeE	BSU19750	-	COG1246E	spore coat maturation protein	2146013	2146792	OR1
-	426	16079034	cgeD	BSU19760	-	COG0463M	spore coat maturation protein	2146821	2148101	OR1
-	101	16079035	cgeC	BSU19770	-	-	spore coat maturation protein	2148166	2148471	OR1
+	133	16079036	cgeA	BSU19780	-	-	spore outermost layer component	2148676	2149077	OF601
+	317	255767464	cgeB	BSU19790	-	COG4641S	spore coat maturation protein	2149084	2150037	OF601
-	382	16079038	phy	BSU19800	-	COG4247I	phytase	2150108	2151256	OR1
-	58	16079040	yotN	BSU19820	-	-	hypothetical protein	2152086	2152262	OR1
-	195	16079041	yotM	BSU19830	-	COG3331R	hypothetical protein	2152265	2152852	OR1
+	80	16079042	yotL	BSU19840	-	COG3093R	hypothetical protein	2152927	2153169	OF601
-	61	16079043	yotK	BSU19850	-	-	hypothetical protein	2153171	2153356	OR1
-	70	16079044	yotJ	BSU19860	-	-	hypothetical protein	2153440	2153652	OR1
-	120	16079045	yotI	BSU19870	-	-	hypothetical protein	2153718	2154080	OR1
-	57	16079046	yotH	BSU19880	-	-	hypothetical protein	2154077	2154250	OR1
-	105	16079047	yotG	BSU19890	-	-	hypothetical protein	2154266	2154583	OR1
-	25	16079048	yotF	BSU19900	-	-	hypothetical protein	2154596	2154673	OR1
-	48	16079049	yotE	BSU19910	-	-	hypothetical protein	2154705	2154851	OR1
-	43	16079050	yotD	BSU19920	-	COG1592C	hypothetical protein	2154887	2155018	OR1
-	63	16079051	yotC	BSU19930	-	-	hypothetical protein	2155058	2155249	OR1
-	275	16079052	yotB	BSU19940	-	COG0420L	metallo-dependent hydrolase	2155293	2156120	OR1
+	72	16079053	sspC	BSU19950	-	-	small acid-soluble spore protein	2156239	2156457	OF602
-	117	16079055	yosX	BSU19970	-	-	hypothetical protein	2156757	2157110	OR1
-	113	16079056	yosW	BSU19980	-	-	hypothetical protein	2157341	2157682	OR1
-	96	16079057	yosV	BSU19990	-	-	hypothetical protein	2157829	2158119	OR1
-	55	255767465	yojW	BSU19999	-	-	hypothetical protein	2158120	2158287	OR1
+	81	16079058	yosU	BSU20000	-	-	hypothetical protein	2158439	2158684	OF603
-	149	16079059	yosT	BSU20010	-	COG3449L	hypothetical protein	2158724	2159173	OR1
-	142	16079060	yosS	BSU20020	-	COG0756F	SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase	2159268	2159696	OR1
-	80	16079061	yosR	BSU20030	-	COG3118O	thiol disulfide oxidoreductase	2159742	2159984	OR1
-	329	50812253	nrdF	BSU20040	-	COG0208F	ribonucleotide-diphosphate reductase subunit beta	2159981	2161778	OR1
-	173	16079062	yosQ	BSU20050	-	-	SPbeta phage endodeoxyribonuclease	2160565	2161086	OR1
-	1084	50812254	nrdEB	BSU20060	-	COG0209F	SPbeta phage ribonucleoside-diphosphate reductase subunit alpha	2162108	2165614	OR1
-	129	16079066	nrdI	BSU20070	-	COG1780F	ribonucleotide reductase stimulatory protein	2165577	2165966	OR1
-	117	16079067	yosL	BSU20080	-	-	hypothetical protein	2165972	2166325	OR1
-	66	16079068	yosK	BSU20090	-	-	hypothetical protein	2166413	2166613	OR1
-	64	16079069	yosJ	BSU20100	-	-	hypothetical protein	2166658	2166852	OR1
-	44	16079070	yosI	BSU20110	-	-	hypothetical protein	2166873	2167007	OR1
-	156	16079071	yosH	BSU20120	-	-	hypothetical protein	2167039	2167509	OR1
-	120	16079072	yosG	BSU20130	-	-	cell wall hydrolase	2167570	2167932	OR1
-	41	16079073	yosF	BSU20140	-	-	hypothetical protein	2167975	2168100	OR1
-	115	16079074	yosE	BSU20150	-	-	hypothetical protein	2168114	2168461	OR1
-	131	16079075	yosD	BSU20160	-	-	hypothetical protein	2168476	2168871	OR1
-	180	16079076	yosC	BSU20170	-	-	hypothetical protein	2168910	2169452	OR1
-	59	16079077	yosB	BSU20180	-	-	hypothetical protein	2169497	2169676	OR1
+	39	16079078	yosA	BSU20190	-	-	hypothetical protein	2169807	2169926	OF604
-	70	16079079	yorZ	BSU20200	-	-	hypothetical protein	2170030	2170242	OR1
-	60	16079080	yorY	BSU20210	-	-	hypothetical protein	2170309	2170491	OR1
-	75	16079081	yorX	BSU20220	-	-	hypothetical protein	2170504	2170731	OR1
-	121	16079082	yorW	BSU20230	-	-	hypothetical protein	2170771	2171136	OR1
-	72	16079083	yorV	BSU20240	-	-	nucleic acid binding protein	2171139	2171357	OR1
-	443	16079084	mtbP	BSU20250	-	COG0270L	DNA (cytosine-5-)-methyltransferase	2171401	2172732	OR1
-	39	16079085	yorT	BSU20260	-	-	hypothetical protein	2172781	2172900	OR1
-	172	16079086	yorS	BSU20270	-	COG4502S	hypothetical protein	2172932	2173450	OR1
-	165	16079087	yorR	BSU20280	-	COG0125F	nucleotide kinase	2173459	2173956	OR1
-	51	16079088	yorQ	BSU20290	-	-	hypothetical protein	2173956	2174111	OR1
-	71	16079089	yorP	BSU20300	-	-	hypothetical protein	2174104	2174319	OR1
-	65	16079090	yorO	BSU20310	-	-	hypothetical protein	2174352	2174549	OR1
-	49	16079091	yorN	BSU20320	-	-	hypothetical protein	2174585	2174734	OR1
-	238	16079092	yorM	BSU20330	-	COG3584S	hypothetical protein	2174852	2175568	OR1
-	1305	16079093	yorL	BSU20340	-	COG0587L	DNA polymerase	2175596	2179513	OR1
-	576	16079094	yorK	BSU20350	-	COG0608L	ssDNA-binding protein	2179526	2181256	OR1
-	378	16079095	yorJ	BSU20360	-	COG0358L	hypothetical protein	2181256	2182392	OR1
-	504	16079096	yorI	BSU20370	-	COG0305L	replicative DNA helicase	2182408	2183922	OR1
-	156	16079097	yorH	BSU20380	-	-	hypothetical protein	2183937	2184407	OR1
-	323	16079098	yorG	BSU20390	-	-	hypothetical protein	2184450	2185421	OR1
-	304	16079099	yorF	BSU20400	-	-	hypothetical protein	2185504	2186418	OR1
-	123	16079100	yorE	BSU20410	-	-	hypothetical protein	2186440	2186811	OR1
-	104	16079101	yorD	BSU20420	-	-	hypothetical protein	2186985	2187299	OR1
-	126	16079102	yorC	BSU20430	-	-	hypothetical protein	2187376	2187756	OR1
-	98	16079103	yorB	BSU20440	-	-	hypothetical protein	2187819	2188115	OR1
-	586	16079104	yorA	BSU20450	-	COG3420P	capsid protein	2188204	2189964	OR1
-	274	16079105	yoqZ	BSU20460	-	COG4195R	hypothetical protein	2189961	2190785	OR1
-	131	16079106	yoqY	BSU20470	-	-	hypothetical protein	2190884	2191279	OR1
-	73	16079107	yoqX	BSU20480	-	-	SPbeta phage protein	2191334	2191555	OR1
+	224	16079108	yoqW	BSU20490	-	COG2135S	hypothetical protein	2191626	2192300	OF605
+	270	16079109	ligB	BSU20500	-	COG1793L	ATP-dependent DNA ligase	2192370	2193182	OF606
-	137	16079110	yoqU	BSU20510	-	-	hypothetical protein	2193248	2193661	OR1
+	49	16079111	yoqT	BSU20520	-	-	hypothetical protein	2193827	2193976	OF607
-	115	16079112	yoqS	BSU20530	-	-	hypothetical protein	2194053	2194400	OR1
-	118	16079113	yoqR	BSU20540	-	-	hypothetical protein	2194402	2194758	OR1
-	113	16079114	yoqP	BSU20550	-	-	hypothetical protein	2194718	2195059	OR1
+	124	16079115	yoqO	BSU20560	-	-	hypothetical protein	2195173	2195547	OF608
-	72	16079116	yoqN	BSU20570	-	-	hypothetical protein	2195564	2195782	OR1
+	92	16079117	yoqM	BSU20580	-	-	membrane bound protein	2195986	2196264	OF609
-	230	16079118	yoqL	BSU20590	-	-	endonuclease	2196389	2197081	OR1
-	67	16079119	yoqK	BSU20600	-	-	hypothetical protein	2197121	2197324	OR1
-	171	16079120	yoqJ	BSU20610	-	COG4474S	hypothetical protein	2197344	2197859	OR1
-	64	16079121	yoqI	BSU20620	-	-	hypothetical protein	2198070	2198264	OR1
-	150	16079122	yoqH	BSU20630	-	-	hypothetical protein	2198313	2198765	OR1
-	85	16079123	yoqG	BSU20640	-	-	hypothetical protein	2198848	2199105	OR1
-	67	16079124	yoqF	BSU20650	-	-	hypothetical protein	2199150	2199353	OR1
-	54	16079125	yoqE	BSU20660	-	-	hypothetical protein	2199362	2199526	OR1
-	251	16079126	yoqD	BSU20670	-	COG3646S	DNA-binding protein anti-repressor	2199580	2200335	OR1
-	135	16079127	yoqC	BSU20680	-	-	nucleotide-binding protein	2200376	2200783	OR1
-	112	16079128	yoqB	BSU20690	-	-	hypothetical protein	2200790	2201128	OR1
-	116	16079129	yoqA	BSU20700	-	-	hypothetical protein	2201125	2201475	OR1
-	67	16079130	yopZ	BSU20710	-	-	hypothetical protein	2201488	2201691	OR1
-	92	16079131	yopY	BSU20720	-	-	hypothetical protein	2201705	2201983	OR1
-	134	16079132	yopX	BSU20730	-	-	hypothetical protein	2201980	2202384	OR1
-	111	16079133	yopW	BSU20740	-	-	hypothetical protein	2202381	2202716	OR1
-	64	16079134	yopV	BSU20750	-	-	hypothetical protein	2202805	2202999	OR1
-	65	16079135	yopU	BSU20760	-	-	hypothetical protein	2203111	2203308	OR1
-	72	16079136	yopT	BSU20770	-	-	hypothetical protein	2203378	2203596	OR1
+	74	16079137	yopS	BSU20780	-	COG3655K	transcriptional regulator	2203779	2204003	OF610
-	325	255767466	yopR	BSU20790	-	-	integrase	2204192	2205169	OR1
-	460	16079139	yopQ	BSU20800	-	-	hypothetical protein	2205193	2206575	OR1
-	358	16079140	yopP	BSU20810	-	COG4974L	phage integrase	2206682	2207758	OR1
-	70	16079141	yopO	BSU20820	-	-	transcriptional regulator	2207748	2207960	OR1
-	105	16079142	yopN	BSU20830	-	-	hypothetical protein	2208008	2208325	OR1
-	66	16079143	yopM	BSU20840	-	-	hypothetical protein	2208328	2208528	OR1
-	41	16079144	yopL	BSU20850	-	-	hypothetical protein	2208855	2208980	OR1
-	386	16079145	yopK	BSU20860	-	-	hypothetical protein	2208994	2210154	OR1
-	138	16079146	yopJ	BSU20870	-	-	nucleotide binding protein	2210331	2210747	OR1
-	177	16079147	yopI	BSU20880	-	-	hypothetical protein	2210749	2211282	OR1
-	178	16079148	yopH	BSU20890	-	-	hypothetical protein	2211309	2211845	OR1
-	43	16079149	yopG	BSU20900	-	-	hypothetical protein	2211884	2212015	OR1
-	71	16079150	yopF	BSU20910	-	-	hypothetical protein	2212026	2212241	OR1
-	83	16079151	yopE	BSU20920	-	-	hypothetical protein	2212245	2212496	OR1
+	59	255767467	yoyH	BSU20928	-	-	hypothetical protein	2212567	2212746	OF611
+	76	255767468	yoyI	BSU20929	-	-	hypothetical protein	2212848	2213078	OF612
-	131	16079152	yopD	BSU20930	-	-	hypothetical protein	2213083	2213478	OR1
-	442	16079153	yopC	BSU20940	-	COG2896H	hypothetical protein	2213536	2214864	OR1
-	75	16079154	yopB	BSU20950	-	COG3655K	transcriptional regulator	2214972	2215199	OR1
-	438	16079155	yopA	BSU20960	-	-	methyltransferase	2215460	2216776	OR1
-	168	16079156	yonX	BSU20970	-	-	hypothetical protein	2217133	2217639	OR1
-	410	16079157	yonV	BSU20980	-	-	hypothetical protein	2217967	2219199	OR1
-	62	16079158	yonU	BSU20990	-	-	hypothetical protein	2219281	2219469	OR1
-	83	255767469	yoyJ	BSU20999	-	-	hypothetical protein	2219514	2219765	OR1
-	58	16079159	yonT	BSU21000	-	-	hypothetical protein	2219784	2219960	OR1
-	203	16079160	yonS	BSU21010	-	-	glycosyl hydrolase lipoprotein	2220335	2220946	OR1
-	108	16079161	yonR	BSU21020	-	COG1396K	XRE family transcriptional regulator	2221061	2221387	OR1
+	64	16079162	yonP	BSU21030	-	-	hypothetical protein	2222340	2222534	OF613
+	839	16079163	yonO	BSU21040	-	-	hypothetical protein	2222574	2225093	OF613
+	92	16079164	yonN	BSU21050	-	COG0776L	HU-related DNA-binding protein	2225337	2225615	OF613
+	63	16079165	yonK	BSU21060	-	-	hypothetical protein	2227297	2227488	OF614
+	405	255767470	yonJ	BSU21070	-	-	hypothetical protein	2227505	2228722	OF614
-	136	16079167	yonI	BSU21080	-	-	hypothetical protein	2228756	2229166	OR1
+	166	16079168	yonH	BSU21090	-	-	capsid protein	2229385	2229885	OF614
+	306	16079169	yonG	BSU21100	-	-	hypothetical protein	2229988	2230908	OF615
+	589	16079170	yonF	BSU21110	-	-	prophage terminase ATP subunit	2230895	2232664	OF615
+	506	16079171	yonE	BSU21120	-	-	hypothetical protein	2232682	2234202	OF615
+	478	16079172	yonD	BSU21130	-	COG4942D	hypothetical protein	2234233	2235669	OF615
+	178	16079173	yonC	BSU21140	-	COG5271R	hypothetical protein	2235694	2236230	OF615
+	338	16079174	yonB	BSU21150	-	-	hypothetical protein	2236269	2237285	OF615
+	156	16079175	yonA	BSU21160	-	-	hypothetical protein	2237321	2237791	OF615
+	131	16079176	yomZ	BSU21170	-	-	hypothetical protein	2237806	2238201	OF615
+	84	16079177	yomY	BSU21180	-	-	hypothetical protein	2238198	2238452	OF615
+	216	16079178	yomX	BSU21190	-	-	hypothetical protein	2238436	2239086	OF615
+	168	16079179	yomW	BSU21200	-	-	hypothetical protein	2239083	2239589	OF615
+	236	16079180	yomV	BSU21210	-	-	hypothetical protein	2239586	2240296	OF615
+	265	16079181	yomU	BSU21220	-	-	hypothetical protein	2240339	2241136	OF615
+	203	255767471	youA	BSU21229	-	-	hypothetical protein	2241154	2241765	OF615
+	75	16079182	yomT	BSU21230	-	-	hypothetical protein	2241765	2241992	OF615
+	118	16079183	yomS	BSU21240	-	-	lytic exoenzyme	2242056	2242412	OF615
+	405	16079184	yomR	BSU21250	-	-	hypothetical protein	2242414	2243631	OF615
+	116	16079185	yomQ	BSU21260	-	-	hypothetical protein	2243642	2243992	OF615
+	63	16079186	yomP	BSU21270	-	-	hypothetical protein	2243989	2244180	OF615
+	166	16079187	yomO	BSU21280	-	-	hypothetical protein	2244230	2244730	OF615
+	139	16079188	yomN	BSU21290	-	-	hypothetical protein	2244714	2245133	OF615
+	333	16079189	yomM	BSU21300	-	COG4974L	integrase	2245147	2246148	OF615
-	109	16079190	yozP	BSU21310	-	-	hypothetical protein	2246151	2246480	OR1
-	228	16079191	yomL	BSU21320	-	-	hypothetical protein	2246656	2247342	OR1
-	58	255767472	youB	BSU21329	-	-	hypothetical protein	2247367	2247543	OR1
+	148	16079192	yomK	BSU21330	-	-	hypothetical protein	2247889	2248335	OF615
+	227	16079193	yomJ	BSU21340	-	-	phage immunity protein	2248417	2249100	OF616
+	2285	255767473	yomI	BSU21350	-	COG0741M	lytic transglycosylase	2249154	2256011	OF617
+	252	16079195	yomH	BSU21360	-	COG4722S	hypothetical protein	2256062	2256820	OF618
+	875	16079196	yomG	BSU21370	-	COG1196D	hypothetical protein	2256832	2259459	OF618
+	273	16079197	yomF	BSU21380	-	-	hypothetical protein	2259475	2260296	OF618
+	644	16079198	yomE	BSU21390	-	COG4632G	glycosyl hydrolase	2260333	2262267	OF618
+	274	16079199	yomD	BSU21400	-	-	hypothetical protein	2262437	2263261	OF618
+	367	16079200	blyA	BSU21410	-	COG5632M	bacteriophage SPbeta N-acetylmuramoyl-L-alanine amidase	2263489	2264592	OF619
+	70	16079201	bhlA	BSU21420	-	-	bacteriophage SPbeta holin-like protein	2264680	2264892	OF620
+	88	16079202	bhlB	BSU21430	-	-	holin-like bacteriophage SPbeta protein	2264903	2265169	OF620
-	148	16079203	bdbB	BSU21440	-	COG1495O	bacteriophage SPbeta thiol-disulfide oxidoreductase	2265225	2265671	OR1
-	422	16079204	yolJ	BSU21450	-	COG0463M	glycosyltransferase	2265668	2266936	OR1
-	137	16079205	bdbA	BSU21460	-	COG3118O	bacteriophage SPbeta thiol-disulfide oxidoreductase	2266936	2267349	OR1
-	705	16079206	sunT	BSU21470	-	COG2274V	sublancin 168 lantibiotic transporter	2267346	2269463	OR1
-	56	16079207	sunA	BSU21480	-	-	sublancin 168 lantibiotic antimicrobial precursor peptide in SPBeta prophage	2269521	2269691	OR1
-	105	16079208	sunI	BSU21490	-	-	protein of immunity to sublancin	2269988	2270305	OR1
-	416	255767474	uvrX	BSU21500	-	COG0389L	lesion bypass phage DNA polymerase	2270407	2271657	OR1
-	110	16079210	yolD	BSU21510	-	-	hypothetical protein	2271650	2271982	OR1
+	111	16079211	yolC	BSU21520	-	-	SPbeta phage protein	2272156	2272491	OF620
-	118	16079212	yolB	BSU21530	-	-	hypothetical protein	2272534	2272890	OR1
-	155	16079213	yolA	BSU21540	-	-	hypothetical protein	2272896	2273363	OR1
-	177	16079214	yokL	BSU21550	-	COG1670J	acetyl-transferase	2273989	2274522	OR1
-	192	16079215	yokK	BSU21560	-	-	hypothetical protein	2274558	2275136	OR1
-	165	16079216	yokJ	BSU21570	-	-	hypothetical protein	2275200	2275697	OR1
-	571	255767475	yokI	BSU21580	-	COG5444S	DNA wielding protein	2275706	2277421	OR1
-	185	16079218	yokH	BSU21590	-	COG4282G	hypothetical protein	2277521	2278078	OR1
-	357	16079219	yokG	BSU21600	-	-	hypothetical protein	2278602	2279675	OR1
+	296	16079220	yokF	BSU21610	-	COG1525L	SPbeta phage DNA nuclease	2279977	2280867	OF621
+	160	16079221	yokE	BSU21620	-	-	hypothetical protein	2280881	2281363	OF621
+	272	16079222	yokD	BSU21630	-	COG2746V	aminoglycoside N3-acetyltransferase	2281667	2282485	OF621
-	171	16079223	yokC	BSU21640	-	-	hypothetical protein	2283136	2283651	OR1
-	236	16079224	yokB	BSU21650	-	-	hypothetical protein	2283858	2284568	OR1
+	545	16079225	yokA	BSU21660	-	COG1961L	DNA recombinase	2284771	2286408	OF622
-	143	16079227	yppQ	BSU21680	-	COG0229O	methionine sulfoxide reductase B	2287097	2287528	OR1
-	177	16079228	msrA	BSU21690	-	COG0225O	methionine sulfoxide reductase A	2287529	2288062	OR1
+	141	16079229	ypoP	BSU21700	-	COG1846K	MarR family transcriptional regulator	2288194	2288619	OF623
-	445	16079230	dinF	BSU21710	-	COG0534V	damage inducible, Na+ driven multidrug efflux pump	2288669	2290006	OR1
-	64	16079231	ypmT	BSU21720	-	-	hypothetical protein	2290078	2290272	OR1
-	187	16079232	ypmS	BSU21730	-	COG4698S	hypothetical protein	2290285	2290848	OR1
-	255	16079233	ypmR	BSU21740	-	COG2755E	lipase/acylhydrolase	2290858	2291625	OR1
-	193	255767476	scuA	BSU21750	-	COG1999R	assembly factor BSco of the Cu(A) site of cytochrome c oxidase	2291703	2292284	OR1
-	83	16079235	ypmP	BSU21760	-	-	hypothetical protein	2292432	2292683	OR1
-	422	16079236	ilvA	BSU21770	-	COG1171E	threonine dehydratase	2292769	2294037	OR1
+	331	16079237	yplP	BSU21780	-	COG1221KT	transcriptional enhancer	2294286	2295281	OF624
